Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
124	-27.3856545	153.1184918		Australia	BA.2.86*		DOH
58	53.2716381	7.4587572		Germany	Other		DOH
129	22.3160874	113.93647839996052		China	KP.3*		DOH
67	21.0862162	79.0637884		India	XBB*		DOH
50	13.2099268	120.6038962		Philippines	XBB.2.3*		DOH
48	53.2716381	7.4587572		Germany	XBB*		DOH
42	21.0862162	79.0637884		India	XBB.1.9.1*		DOH
69	21.0862162	79.0637884		India	BA.2.86*		DOH
131	43.3568493	-1.7930754		Spain	KP.3.1.1*		DOH
129	36.1634261	137.9289785		Japan	BA.2.86*		DOH
68	53.2716381	7.4587572		Germany	EG.5*		DOH
120	22.80543685	55.37312130426234		Oman	KP.3*		DOH
68	34.86793	48.5428723		Iran	BA.2.86*		DOH
60	36.7429195	3.1924633		Algeria	Other		DOH
108	22.3160874	113.93647839996052		China	Other		DOH
129	36.1634261	137.9289785		Japan	JN.1.18*		DOH
56	46.7985624	8.2319736		Switzerland	XBB*		DOH
63	12.6270148	99.95103		Thailand	BA.2.86*		DOH
121	-27.3856545	153.1184918		Australia	KP.3*		DOH
130	47.7930175	12.9950154		Austria	KP.3.1.1*		DOH
20	7.18250095	79.87614047745092		Sri Lanka	XBB.1.16*		DOH
101	21.0862162	79.0637884		India	BA.2.86*		DOH
48	53.2716381	7.4587572		Germany	XBB.1.9.2*		DOH
71	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*		DOH
14	5.612243	-0.1810685		Ethiopia	Omicron		DOH
42	22.3160874	113.93647839996052		China	EG.5*		DOH
107	22.3160874	113.93647839996052		China	BA.2.86*		DOH
63	37.235122849999996	127.00921616567815		South Korea (Republic of Korea)	EG.5*		DOH
71	5.6164609	-0.1770993		Egypt	Omicron		DOH
66	13.2099268	120.6038962		Philippines	XBB.1.5*		DOH
125	-0.0869947	34.7383296		Kenya	Omicron		DOH
115	53.95694255	-97.84823872487667		Norway	BA.2.86*		DOH
65	41.1338198	16.7632158		Italy	Omicron		DOH
56	46.7985624	8.2319736		Switzerland	XBB.1.9.1*		DOH
133	9.0067224	7.2723697		Nigeria	BA.2.86*		DOH
102	47.7930175	12.9950154		Austria	BA.2.86*		DOH
87	5.9572597	116.0657877		Malaysia	Omicron		DOH
110	50.63575965	5.426222477561027		Belgium	BA.2.86*		DOH
65	-27.7853361	30.7897384		South Africa	BA.2.86*		DOH
72	24.9415476	46.7119808		Saudi Arabia	EG.5*		DOH
125	-0.0869947	34.7383296		Kenya	BA.2.86*		DOH
107	4.3130527999999995	-52.133573607074794		France	Omicron		DOH
70	30.9496969	-91.5824929		Angola	Omicron		DOH
100	22.3160874	113.93647839996052		China	BA.2.86*		DOH
101	-27.7853361	30.7897384		South Africa	BA.2.86*		DOH
8	36.5920226	-93.6640013		Turkey	Other		DOH
82	59.8143342	30.32107		Russian Federation	BA.2.86*		DOH
116	42.3743325	-71.0302794		United States	KP.2*		DOH
112	-27.3856545	153.1184918		Australia	BA.2.86*		DOH
107	5.6533152	-0.2527234		Ghana	BA.2.86*		DOH
54	47.3285764	-106.95163804366535		Jordan	Other		DOH
129	47.3285764	-106.95163804366535		Jordan	BA.2.86*		DOH
101	21.0862162	79.0637884		India	Other		DOH
60	13.2099268	120.6038962		Philippines	Other		DOH
67	34.86793	48.5428723		Iran	BA.2.86*		DOH
128	47.3285764	-106.95163804366535		Jordan	BA.2.86*		DOH
44	33.9920437	-96.9158396		Lebanon	XBB.1.16*		DOH
51	33.9920437	-96.9158396		Lebanon	XBB.1.9.2*		DOH
123	4.3130527999999995	-52.133573607074794		France	JN.1.18*		DOH
128	24.9415476	46.7119808		Saudi Arabia	Omicron		DOH
24	39.47644	-87.1003925		Brazil	XBB.1.5*		DOH
117	-6.5247123	35.7878438		Tanzania, United Republic of	KP.2*		DOH
54	46.7985624	8.2319736		Switzerland	Other		DOH
87	22.3160874	113.93647839996052		China	BA.2.86*		DOH
117	21.0862162	79.0637884		India	BA.2.86*		DOH
