Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
2	12.6270148	99.95103		Thailand	Omicron	CB5C19	DOH
45	1.352975	103.99605546603934		Singapore	Other	E06666	DOH
35	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
116	5.9572597	116.0657877		Malaysia	Omicron	CB5C19	DOH
121	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
123	13.2099268	120.6038962		Philippines	KP.3*	6E6190	DOH
26	0.0442028	32.4579692		Uganda	XBB.1.9*	BF6310	DOH
15	21.0862162	79.0637884		India	Omicron	CB5C19	DOH
16	34.86793	48.5428723		Iran	Omicron	CB5C19	DOH
14	24.9415476	46.7119808		Saudi Arabia	Omicron	CB5C19	DOH
118	52.215933	19.134422		Poland	JN.1.7*	AFB53F	DOH
63	53.95694255	-97.84823872487668		Norway	BA.2.86*	5344AA	DOH
63	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
50	59.8143342	30.32107		Russian Federation	XBB.1.16*	9B0E0E	DOH
124	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
58	53.2716381	7.4587572		Germany	Other	E06666	DOH
129	22.3160874	113.93647839996052		China	KP.3*	6E6190	DOH
67	21.0862162	79.0637884		India	XBB*	04329B	DOH
50	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
48	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
42	21.0862162	79.0637884		India	XBB.1.9.1*	84034F	DOH
69	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
131	43.3568493	-1.7930754		Spain	KP.3.1.1*	6C3CBF	DOH
129	36.1634261	137.9289785		Japan	BA.2.86*	5344AA	DOH
68	53.2716381	7.4587572		Germany	EG.5*	76227F	DOH
120	22.80543685	55.37312130426234		Oman	KP.3*	6E6190	DOH
68	34.86793	48.5428723		Iran	BA.2.86*	5344AA	DOH
60	36.7429195	3.1924633		Algeria	Other	E06666	DOH
108	22.3160874	113.93647839996052		China	Other	E06666	DOH
129	36.1634261	137.9289785		Japan	JN.1.18*	B8AF37	DOH
56	46.7985624	8.2319736		Switzerland	XBB*	04329B	DOH
63	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
121	-27.3856545	153.1184918		Australia	KP.3*	6E6190	DOH
130	47.7930175	12.9950154		Austria	KP.3.1.1*	6C3CBF	DOH
20	7.18250095	79.87614047745092		Sri Lanka	XBB.1.16*	9B0E0E	DOH
101	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
48	53.2716381	7.4587572		Germany	XBB.1.9.2*	76750F	DOH
71	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*	5344AA	DOH
14	5.612243	-0.1810685		Ethiopia	Omicron	CB5C19	DOH
42	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
107	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
63	37.23512285	127.00921616567815		South Korea (Republic of Korea)	EG.5*	76227F	DOH
71	5.6164609	-0.1770993		Egypt	Omicron	CB5C19	DOH
66	13.2099268	120.6038962		Philippines	XBB.1.5*	2B7A6B	DOH
125	-0.0869947	34.7383296		Kenya	Omicron	CB5C19	DOH
115	53.95694255	-97.84823872487668		Norway	BA.2.86*	5344AA	DOH
65	41.1338198	16.7632158		Italy	Omicron	CB5C19	DOH
