Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
0	4.3130528	-52.1335736070748		France	BA.2.86*	5344AA	DOH
1	15.9266657	107.9650855		Viet Nam	XBB*	04329B	DOH
2	4.3130528	-52.1335736070748		France	Other	809c3c	DOH
3	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
4	35.7626211	10.7545542		Tunisia	Other	809c3c	DOH
5	55.0356373	-1.7110967		United Kingdom	JN.1.18*	2f6b13	DOH
6	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
7	5.9572597	116.0657877		Malaysia	BA.2.86*	5344AA	DOH
8	53.2716381	7.4587572		Germany	KP.2*	aa8724	DOH
9	24.9415476	46.7119808		Saudi Arabia	Other	809c3c	DOH
10	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
11	23.61298745	89.51132630000001		Bangladesh	KP.3*	a53c13	DOH
12	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
13	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
14	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
15	36.7429195	3.1924633		Algeria	BA.2.86*	5344AA	DOH
16	41.1338198	16.7632158		Italy	XBB.1.9.1*	84034F	DOH
17	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
18	24.9415476	46.7119808		Saudi Arabia	KP.2*	aa8724	DOH
19	4.3130528	-52.1335736070748		France	Other	809c3c	DOH
20	-16.7967952	27.0004197		Zambia	Omicron	2a6291	DOH
21	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
22	9.0067224	7.2723697		Nigeria	XBB*	04329B	DOH
23	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
24	53.91158075	-8.81314269279339		Ireland	BA.2.86*	5344AA	DOH
25	50.1152569	14.284724		Czech Republic	BA.2.86*	5344AA	DOH
26	13.2099268	120.6038962		Philippines	Other	809c3c	DOH
27	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
28	7.18250095	79.87614047745092		Sri Lanka	XBB*	04329B	DOH
29	21.0862162	79.0637884		India	KP.2*	aa8724	DOH
30	1.352975	103.99605546603934		Singapore	XBB.1.9.1*	84034F	DOH
31	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
32	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
33	36.5920226	-93.6640013		Turkey	BA.2.86*	5344AA	DOH
34	4.3130528	-52.1335736070748		France	JN.1.18*	2f6b13	DOH
35	37.23512285	127.00921616567815		South Korea (Republic of Korea)	Omicron	2a6291	DOH
36	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
37	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
38	42.3743325	-71.0302794		United States	Other	809c3c	DOH
39	42.3743325	-71.0302794		United States	Other	809c3c	DOH
40	22.3160874	113.93647839996052		China	KP.3*	a53c13	DOH
41	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
42	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
43	4.1898549	73.5271565		Maldives	BA.2.86*	5344AA	DOH
44	28.2127094	83.6658884		Nepal	KP.2*	aa8724	DOH
45	29.20266855	47.98759996193816		Kuwait	BA.2.86*	5344AA	DOH
46	-27.7853361	30.7897384		South Africa	XBB.1.5*	2B7A6B	DOH
47	9.0067224	7.2723697		Nigeria	XBB*	04329B	DOH
48	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
49	-8.7441455	115.1663723		Indonesia	Other	809c3c	DOH
50	-27.7853361	30.7897384		South Africa	XBB.1.16*	9B0E0E	DOH
51	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
52	50.63575965	5.426222477561027		Belgium	Other	809c3c	DOH
53	5.9572597	116.0657877		Malaysia	KP.2*	aa8724	DOH
54	22.3160874	113.93647839996052		China	Other	809c3c	DOH
55	-6.5247123	35.7878438		Tanzania, United Republic of	Other	809c3c	DOH
56	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
57	-17.9176704	31.09878714078309		Zimbabwe	XBB.2.3*	035F66	DOH
58	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
59	13.2099268	120.6038962		Philippines	Other	809c3c	DOH
60	43.3568493	-1.7930754		Spain	BA.2.86*	5344AA	DOH
61	29.20266855	47.98759996193816		Kuwait	Other	809c3c	DOH
62	11.55351865	104.8444244551626		Cambodia	Omicron	2a6291	DOH
63	46.7985624	8.2319736		Switzerland	BA.2.86*	5344AA	DOH
64	36.5920226	-93.6640013		Turkey	XBB*	04329B	DOH
65	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
66	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
67	22.3160874	113.93647839996052		China	Other	809c3c	DOH
68	55.0356373	-1.7110967		United Kingdom	BA.2.86*	5344AA	DOH
69	55.0356373	-1.7110967		United Kingdom	KP.2*	aa8724	DOH
70	37.23512285	127.00921616567815		South Korea (Republic of Korea)	XBB*	04329B	DOH
71	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
72	22.80543685	55.37312130426234		Oman	Other	809c3c	DOH
73	33.9920437	-96.9158396		Lebanon	Omicron	2a6291	DOH
74	36.5920226	-93.6640013		Turkey	Omicron	2a6291	DOH
75	42.3743325	-71.0302794		United States	Omicron	2a6291	DOH
76	23.61298745	89.51132630000001		Bangladesh	Omicron	2a6291	DOH
77	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
78	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
79	4.3130528	-52.1335736070748		France	Other	809c3c	DOH
80	12.6270148	99.95103		Thailand	JN.1.18*	2f6b13	DOH
81	-4.3246379	55.6919932		Seychelles	XBB.1.16*	9B0E0E	DOH
82	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
83	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
84	37.23512285	127.00921616567815		South Korea (Republic of Korea)	Other	809c3c	DOH
85	-27.7853361	30.7897384		South Africa	Omicron	2a6291	DOH
86	12.6270148	99.95103		Thailand	XBB.1.16*	9B0E0E	DOH
87	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
88	12.6270148	99.95103		Thailand	EG.5*	76227F	DOH
89	12.6270148	99.95103		Thailand	Omicron	2a6291	DOH
90	1.352975	103.99605546603934		Singapore	Other	809c3c	DOH
91	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
92	5.9572597	116.0657877		Malaysia	Omicron	2a6291	DOH
93	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
94	13.2099268	120.6038962		Philippines	KP.3*	a53c13	DOH
95	0.0442028	32.4579692		Uganda	XBB.1.9*	BF6310	DOH
96	21.0862162	79.0637884		India	Omicron	2a6291	DOH
97	34.86793	48.5428723		Iran	Omicron	2a6291	DOH
98	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
99	52.215933	19.134422		Poland	JN.1.7*	335e18	DOH
100	53.95694255	-97.84823872487668		Norway	BA.2.86*	5344AA	DOH
101	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
